Network Category,Time Step,Robot ID,X, Y,Degree, SD Est
12-Chain,5,6,12.5,0,2,2
12-Chain,5,7,62.5,0,2,2
12-Chain,5,8,112.5,0,2,2
12-Chain,5,9,162.5,0,2,2
12-Chain,5,10,212.5,0,2,1.9000001
12-Chain,5,11,262.5,0,1,1.2
12-Chain,6,0,-12.5,0,2,2
12-Chain,6,1,-112.5,0,2,2
12-Chain,6,2,-62.5,0,2,2
12-Chain,6,3,-162.5,0,2,2
12-Chain,6,4,-262.5,0,1,1.2
12-Chain,6,5,-212.5,0,2,1.9000001
12-Chain,6,6,12.5,0,2,2
12-Chain,6,7,62.5,0,2,2
12-Chain,6,8,112.5,0,2,2
12-Chain,6,9,162.5,0,2,2
12-Chain,6,10,212.5,0,2,1.9000001
12-Chain,6,11,262.5,0,1,1.2
12-Chain,7,0,-12.5,0,2,2
12-Chain,7,1,-112.5,0,2,2
12-Chain,7,2,-62.5,0,2,2
12-Chain,7,3,-162.5,0,2,2
12-Chain,7,4,-262.5,0,1,1.2
12-Chain,7,5,-212.5,0,2,1.9000001
12-Chain,7,6,12.5,0,2,2
12-Chain,7,7,62.5,0,2,2
12-Chain,7,8,112.5,0,2,2
12-Chain,7,9,162.5,0,2,2
12-Chain,7,10,212.5,0,2,1.9000001
12-Chain,7,11,262.5,0,1,1.2
12-Chain,8,0,-12.5,0,2,2
12-Chain,8,1,-112.5,0,2,2
12-Chain,8,2,-62.5,0,2,2
12-Chain,8,3,-162.5,0,2,2
12-Chain,8,4,-262.5,0,1,1.2
12-Chain,8,5,-212.5,0,2,1.9000001
12-Chain,8,6,12.5,0,2,2
12-Chain,8,7,62.5,0,2,2
12-Chain,8,8,112.5,0,2,2
12-Chain,8,9,162.5,0,2,2
12-Chain,8,10,212.5,0,2,1.9000001
12-Chain,8,11,262.5,0,1,1.2
12-Chain,9,0,-12.5,0,2,2
12-Chain,9,1,-112.5,0,2,2
12-Chain,9,2,-62.5,0,2,2
12-Chain,9,3,-162.5,0,2,2
12-Chain,9,4,-262.5,0,1,1.2
12-Chain,9,5,-212.5,0,2,1.9000001
12-Chain,9,6,12.5,0,2,2
12-Chain,9,7,62.5,0,2,2
12-Chain,9,8,112.5,0,2,2
12-Chain,9,9,162.5,0,2,2
12-Chain,9,10,212.5,0,2,1.9000001
12-Chain,9,11,262.5,0,1,1.2
12-Chain,10,0,-12.5,0,2,2
12-Chain,10,1,-112.5,0,2,2
12-Chain,10,2,-62.5,0,2,2
12-Chain,10,3,-162.5,0,2,2
12-Chain,10,4,-262.5,0,1,1.2
12-Chain,10,5,-212.5,0,2,1.9000001
12-Chain,10,6,12.5,0,2,2
12-Chain,10,7,62.5,0,2,2
12-Chain,10,8,112.5,0,2,2
12-Chain,10,9,162.5,0,2,2
12-Chain,10,10,212.5,0,2,1.9000001
12-Chain,10,11,262.5,0,1,1.2
12-Chain,11,0,-12.5,0,2,2
12-Chain,11,1,-112.5,0,2,2
12-Chain,11,2,-62.5,0,2,2
12-Chain,11,3,-162.5,0,2,2
12-Chain,11,4,-262.5,0,1,1.2
12-Chain,11,5,-212.5,0,2,1.9000001
12-Chain,11,6,12.5,0,2,2
12-Chain,11,7,62.5,0,2,2
12-Chain,11,8,112.5,0,2,2
12-Chain,11,9,162.5,0,2,2
12-Chain,11,10,212.5,0,2,1.9000001
12-Chain,11,11,262.5,0,1,1.2
12-Chain,12,0,-12.5,0,2,2
12-Chain,12,1,-112.5,0,2,2
12-Chain,12,2,-62.5,0,2,2
12-Chain,12,3,-162.5,0,2,2
12-Chain,12,4,-262.5,0,1,1.2
12-Chain,12,5,-212.5,0,2,1.9000001
12-Chain,12,6,12.5,0,2,2
12-Chain,12,7,62.5,0,2,2
12-Chain,12,8,112.5,0,2,2
12-Chain,12,9,162.5,0,2,2
12-Chain,12,10,212.5,0,2,1.9000001
12-Chain,12,11,262.5,0,1,1.2
12-Chain,13,0,-12.5,0,2,2
12-Chain,13,1,-112.5,0,2,2
12-Chain,13,2,-62.5,0,2,2
12-Chain,13,3,-162.5,0,2,2
12-Chain,13,4,-262.5,0,1,1.2
12-Chain,13,5,-212.5,0,2,1.9000001
12-Chain,13,6,12.5,0,2,2
12-Chain,13,7,62.5,0,2,2
12-Chain,13,8,112.5,0,2,2
12-Chain,13,9,162.5,0,2,2
12-Chain,13,10,212.5,0,2,1.9000001
12-Chain,13,11,262.5,0,1,1.2
12-Chain,14,0,-12.5,0,2,2
12-Chain,14,1,-112.5,0,2,2
12-Chain,14,2,-62.5,0,2,2
12-Chain,14,3,-162.5,0,2,2
12-Chain,14,4,-262.5,0,1,1.2
12-Chain,14,5,-212.5,0,2,1.9000001
12-Chain,14,6,12.5,0,2,2
12-Chain,14,7,62.5,0,2,2
12-Chain,14,8,112.5,0,2,2
12-Chain,14,9,162.5,0,2,2
12-Chain,14,10,212.5,0,2,1.9000001
12-Chain,14,11,262.5,0,1,1.2
12-Chain,15,0,-12.5,0,2,2
12-Chain,15,1,-112.5,0,2,2
12-Chain,15,2,-62.5,0,2,2
12-Chain,15,3,-162.5,0,2,2
12-Chain,15,4,-262.5,0,1,1.2
12-Chain,15,5,-212.5,0,2,1.9000001
12-Chain,15,6,12.5,0,2,2
12-Chain,15,7,62.5,0,2,2
12-Chain,15,8,112.5,0,2,2
12-Chain,15,9,162.5,0,2,2
12-Chain,15,10,212.5,0,2,1.9000001
12-Chain,15,11,262.5,0,1,1.2
12-Chain,16,0,-12.5,0,2,2
12-Chain,16,1,-112.5,0,2,2
12-Chain,16,2,-62.5,0,2,2
12-Chain,16,3,-162.5,0,2,2
12-Chain,16,4,-262.5,0,1,1.2
12-Chain,16,5,-212.5,0,2,1.9000001
12-Chain,16,6,12.5,0,2,2
12-Chain,16,7,62.5,0,2,2
12-Chain,16,8,112.5,0,2,2
12-Chain,16,9,162.5,0,2,2
12-Chain,16,10,212.5,0,2,1.9000001
12-Chain,16,11,262.5,0,1,1.2
12-Chain,17,0,-12.5,0,2,2
12-Chain,17,1,-112.5,0,2,2
12-Chain,17,2,-62.5,0,2,2
12-Chain,17,3,-162.5,0,2,2
12-Chain,17,4,-262.5,0,1,1.2
12-Chain,17,5,-212.5,0,2,1.9000001
12-Chain,17,6,12.5,0,2,2
12-Chain,17,7,62.5,0,2,2
12-Chain,17,8,112.5,0,2,2
12-Chain,17,9,162.5,0,2,2
12-Chain,17,10,212.5,0,2,1.9000001
12-Chain,17,11,262.5,0,1,1.2
12-Chain,18,0,-12.5,0,2,2
12-Chain,18,1,-112.5,0,2,2
12-Chain,18,2,-62.5,0,2,2
12-Chain,18,3,-162.5,0,2,2
12-Chain,18,4,-262.5,0,1,1.2
12-Chain,18,5,-212.5,0,2,1.9000001
12-Chain,18,6,12.5,0,2,2
12-Chain,18,7,62.5,0,2,2
12-Chain,18,8,112.5,0,2,2
12-Chain,18,9,162.5,0,2,2
12-Chain,18,10,212.5,0,2,1.9000001
12-Chain,18,11,262.5,0,1,1.2
12-Chain,19,0,-12.5,0,2,2
12-Chain,19,1,-112.5,0,2,2
12-Chain,19,2,-62.5,0,2,2
12-Chain,19,3,-162.5,0,2,2
12-Chain,19,4,-262.5,0,1,1.2
12-Chain,19,5,-212.5,0,2,1.9000001
12-Chain,19,6,12.5,0,2,2
12-Chain,19,7,62.5,0,2,2
12-Chain,19,8,112.5,0,2,2
12-Chain,19,9,162.5,0,2,2
12-Chain,19,10,212.5,0,2,1.9000001
12-Chain,19,11,262.5,0,1,1.2
12-Chain,20,0,-12.5,0,2,2
12-Chain,20,1,-112.5,0,2,2
12-Chain,20,2,-62.5,0,2,2
12-Chain,20,3,-162.5,0,2,2
12-Chain,20,4,-262.5,0,1,1.2
12-Chain,20,5,-212.5,0,2,1.9000001
12-Chain,20,6,12.5,0,2,2
12-Chain,20,7,62.5,0,2,2
12-Chain,20,8,112.5,0,2,2
12-Chain,20,9,162.5,0,2,2
12-Chain,20,10,212.5,0,2,1.9000001
12-Chain,20,11,262.5,0,1,1.2
12-Chain,21,0,-12.5,0,2,2
12-Chain,21,1,-112.5,0,2,2
12-Chain,21,2,-62.5,0,2,2
12-Chain,21,3,-162.5,0,2,2
12-Chain,21,4,-262.5,0,1,1.2
12-Chain,21,5,-212.5,0,2,1.9000001
12-Chain,21,6,12.5,0,2,2
12-Chain,21,7,62.5,0,2,2
12-Chain,21,8,112.5,0,2,2
12-Chain,21,9,162.5,0,2,2
12-Chain,21,10,212.5,0,2,1.9000001
12-Chain,21,11,262.5,0,1,1.2
12-Chain,22,0,-12.5,0,2,2
12-Chain,22,1,-112.5,0,2,2
12-Chain,22,2,-62.5,0,2,2
12-Chain,22,3,-162.5,0,2,2
12-Chain,22,4,-262.5,0,1,1.2
12-Chain,22,5,-212.5,0,2,1.9000001
12-Chain,22,6,12.5,0,2,2
12-Chain,22,7,62.5,0,2,2
12-Chain,22,8,112.5,0,2,2
12-Chain,22,9,162.5,0,2,2
12-Chain,22,10,212.5,0,2,1.9000001
12-Chain,22,11,262.5,0,1,1.2
12-Chain,23,0,-12.5,0,2,2
12-Chain,23,1,-112.5,0,2,2
12-Chain,23,2,-62.5,0,2,2
12-Chain,23,3,-162.5,0,2,2
12-Chain,23,4,-262.5,0,1,1.2
12-Chain,23,5,-212.5,0,2,1.9000001
12-Chain,23,6,12.5,0,2,2
12-Chain,23,7,62.5,0,2,2
12-Chain,23,8,112.5,0,2,2
12-Chain,23,9,162.5,0,2,2
12-Chain,23,10,212.5,0,2,1.9000001
12-Chain,23,11,262.5,0,1,1.2
12-Chain,24,0,-12.5,0,2,2
12-Chain,24,1,-112.5,0,2,2
12-Chain,24,2,-62.5,0,2,2
12-Chain,24,3,-162.5,0,2,2
12-Chain,24,4,-262.5,0,1,1.2
12-Chain,24,5,-212.5,0,2,1.9000001
12-Chain,24,6,12.5,0,2,2
12-Chain,24,7,62.5,0,2,2
12-Chain,24,8,112.5,0,2,2
12-Chain,24,9,162.5,0,2,2
12-Chain,24,10,212.5,0,2,1.9000001
12-Chain,24,11,262.5,0,1,1.2
12-Chain,25,0,-12.5,0,2,2
12-Chain,25,1,-112.5,0,2,2
12-Chain,25,2,-62.5,0,2,2
12-Chain,25,3,-162.5,0,2,2
12-Chain,25,4,-262.5,0,1,1.2
12-Chain,25,5,-212.5,0,2,1.9000001
12-Chain,25,6,12.5,0,2,2
12-Chain,25,7,62.5,0,2,2
12-Chain,25,8,112.5,0,2,2
12-Chain,25,9,162.5,0,2,2
12-Chain,25,10,212.5,0,2,1.9000001
12-Chain,25,11,262.5,0,1,1.2
12-Chain,26,0,-12.5,0,2,2
12-Chain,26,1,-112.5,0,2,2
12-Chain,26,2,-62.5,0,2,2
12-Chain,26,3,-162.5,0,2,2
12-Chain,26,4,-262.5,0,1,1.2
12-Chain,26,5,-212.5,0,2,1.9000001
12-Chain,26,6,12.5,0,2,2
12-Chain,26,7,62.5,0,2,2
12-Chain,26,8,112.5,0,2,2
12-Chain,26,9,162.5,0,2,2
12-Chain,26,10,212.5,0,2,1.9000001
12-Chain,26,11,262.5,0,1,1.2
12-Chain,27,0,-12.5,0,2,2
12-Chain,27,1,-112.5,0,2,2
12-Chain,27,2,-62.5,0,2,2
12-Chain,27,3,-162.5,0,2,2
12-Chain,27,4,-262.5,0,1,1.2
12-Chain,27,5,-212.5,0,2,1.9000001
12-Chain,27,6,12.5,0,2,2
12-Chain,27,7,62.5,0,2,2
12-Chain,27,8,112.5,0,2,2
12-Chain,27,9,162.5,0,2,2
12-Chain,27,10,212.5,0,2,1.9000001
12-Chain,27,11,262.5,0,1,1.2
12-Chain,28,0,-12.5,0,2,2
12-Chain,28,1,-112.5,0,2,2
12-Chain,28,2,-62.5,0,2,2
12-Chain,28,3,-162.5,0,2,2
12-Chain,28,4,-262.5,0,1,1.2
12-Chain,28,5,-212.5,0,2,1.9000001
12-Chain,28,6,12.5,0,2,2
12-Chain,28,7,62.5,0,2,2
12-Chain,28,8,112.5,0,2,2
12-Chain,28,9,162.5,0,2,2
12-Chain,28,10,212.5,0,2,1.9000001
12-Chain,28,11,262.5,0,1,1.2
12-Chain,29,0,-12.5,0,2,2
12-Chain,29,1,-112.5,0,2,2
12-Chain,29,2,-62.5,0,2,2
12-Chain,29,3,-162.5,0,2,2
12-Chain,29,4,-262.5,0,1,1.2
12-Chain,29,5,-212.5,0,2,1.9000001
12-Chain,29,6,12.5,0,2,2
12-Chain,29,7,62.5,0,2,2
12-Chain,29,8,112.5,0,2,2
12-Chain,29,9,162.5,0,2,2
12-Chain,29,10,212.5,0,2,1.9000001
12-Chain,29,11,262.5,0,1,1.2
12-Chain,30,0,-12.5,0,2,2
12-Chain,30,1,-112.5,0,2,2
12-Chain,30,2,-62.5,0,2,2
12-Chain,30,3,-162.5,0,2,2
12-Chain,30,4,-262.5,0,1,1.2
12-Chain,30,5,-212.5,0,2,1.9000001
12-Chain,30,6,12.5,0,2,2
12-Chain,30,7,62.5,0,2,2
12-Chain,30,8,112.5,0,2,2
12-Chain,30,9,162.5,0,2,2
12-Chain,30,10,212.5,0,2,1.9000001
12-Chain,30,11,262.5,0,1,1.2
12-Chain,31,0,-12.5,0,2,2
12-Chain,31,1,-112.5,0,2,2
12-Chain,31,2,-62.5,0,2,2
12-Chain,31,3,-162.5,0,2,2
12-Chain,31,4,-262.5,0,1,1.2
12-Chain,31,5,-212.5,0,2,1.9000001
12-Chain,31,6,12.5,0,2,2
12-Chain,31,7,62.5,0,2,2
12-Chain,31,8,112.5,0,2,2
12-Chain,31,9,162.5,0,2,2
12-Chain,31,10,212.5,0,2,1.9000001
12-Chain,31,11,262.5,0,1,1.2
12-Chain,32,0,-12.5,0,2,2
12-Chain,32,1,-112.5,0,2,2
12-Chain,32,2,-62.5,0,2,2
12-Chain,32,3,-162.5,0,2,2
12-Chain,32,4,-262.5,0,1,1.2
12-Chain,32,5,-212.5,0,2,1.9000001
12-Chain,32,6,12.5,0,2,2
12-Chain,32,7,62.5,0,2,2
12-Chain,32,8,112.5,0,2,2
12-Chain,32,9,162.5,0,2,2
12-Chain,32,10,212.5,0,2,1.9000001
12-Chain,32,11,262.5,0,1,1.2
12-Chain,33,0,-12.5,0,2,2
12-Chain,33,1,-112.5,0,2,2
12-Chain,33,2,-62.5,0,2,2
12-Chain,33,3,-162.5,0,2,2
12-Chain,33,4,-262.5,0,1,1.2
12-Chain,33,5,-212.5,0,2,1.9000001
12-Chain,33,6,12.5,0,2,2
12-Chain,33,7,62.5,0,2,2
12-Chain,33,8,112.5,0,2,2
12-Chain,33,9,162.5,0,2,2
12-Chain,33,10,212.5,0,2,1.9000001
12-Chain,33,11,262.5,0,1,1.2
12-Chain,34,0,-12.5,0,2,2
12-Chain,34,1,-112.5,0,2,2
12-Chain,34,2,-62.5,0,2,2
12-Chain,34,3,-162.5,0,2,2
12-Chain,34,4,-262.5,0,1,1.2
12-Chain,34,5,-212.5,0,2,1.9000001
12-Chain,34,6,12.5,0,2,2
12-Chain,34,7,62.5,0,2,2
12-Chain,34,8,112.5,0,2,2
12-Chain,34,9,162.5,0,2,2
12-Chain,34,10,212.5,0,2,1.9000001
12-Chain,34,11,262.5,0,1,1.2
12-Chain,35,0,-12.5,0,2,2
12-Chain,35,1,-112.5,0,2,2
12-Chain,35,2,-62.5,0,2,2
12-Chain,35,3,-162.5,0,2,2
12-Chain,35,4,-262.5,0,1,1.2
12-Chain,35,5,-212.5,0,2,1.9000001
12-Chain,35,6,12.5,0,2,2
12-Chain,35,7,62.5,0,2,2
12-Chain,35,8,112.5,0,2,2
12-Chain,35,9,162.5,0,2,2
12-Chain,35,10,212.5,0,2,1.9000001
12-Chain,35,11,262.5,0,1,1.2
12-Chain,36,0,-12.5,0,2,2
12-Chain,36,1,-112.5,0,2,2
12-Chain,36,2,-62.5,0,2,2
12-Chain,36,3,-162.5,0,2,2
12-Chain,36,4,-262.5,0,1,1.2
12-Chain,36,5,-212.5,0,2,1.9000001
12-Chain,36,6,12.5,0,2,2
12-Chain,36,7,62.5,0,2,2
12-Chain,36,8,112.5,0,2,2
12-Chain,36,9,162.5,0,2,2
12-Chain,36,10,212.5,0,2,1.9000001
12-Chain,36,11,262.5,0,1,1.2
12-Chain,37,0,-12.5,0,2,2
12-Chain,37,1,-112.5,0,2,2
12-Chain,37,2,-62.5,0,2,2
12-Chain,37,3,-162.5,0,2,2
12-Chain,37,4,-262.5,0,1,1.2
12-Chain,37,5,-212.5,0,2,1.9000001
12-Chain,37,6,12.5,0,2,2
12-Chain,37,7,62.5,0,2,2
12-Chain,37,8,112.5,0,2,2
12-Chain,37,9,162.5,0,2,2
12-Chain,37,10,212.5,0,2,1.9000001
12-Chain,37,11,262.5,0,1,1.2
12-Chain,38,0,-12.5,0,2,2
12-Chain,38,1,-112.5,0,2,2
12-Chain,38,2,-62.5,0,2,2
12-Chain,38,3,-162.5,0,2,2
12-Chain,38,4,-262.5,0,1,1.2
12-Chain,38,5,-212.5,0,2,1.9000001
12-Chain,38,6,12.5,0,2,2
12-Chain,38,7,62.5,0,2,2
12-Chain,38,8,112.5,0,2,2
12-Chain,38,9,162.5,0,2,2
12-Chain,38,10,212.5,0,2,1.9000001
12-Chain,38,11,262.5,0,1,1.2
12-Chain,39,0,-12.5,0,2,2
12-Chain,39,1,-112.5,0,2,2
12-Chain,39,2,-62.5,0,2,2
12-Chain,39,3,-162.5,0,2,2
12-Chain,39,4,-262.5,0,1,1.2
12-Chain,39,5,-212.5,0,2,1.9000001
12-Chain,39,6,12.5,0,2,2
12-Chain,39,7,62.5,0,2,2
12-Chain,39,8,112.5,0,2,2
12-Chain,39,9,162.5,0,2,2
12-Chain,39,10,212.5,0,2,1.9000001
12-Chain,39,11,262.5,0,1,1.2
12-Chain,40,0,-12.5,0,2,2
12-Chain,40,1,-112.5,0,2,2
12-Chain,40,2,-62.5,0,2,2
12-Chain,40,3,-162.5,0,2,2
12-Chain,40,4,-262.5,0,1,1.2
12-Chain,40,5,-212.5,0,2,1.9000001
12-Chain,40,6,12.5,0,2,2
12-Chain,40,7,62.5,0,2,2
12-Chain,40,8,112.5,0,2,2
12-Chain,40,9,162.5,0,2,2
12-Chain,40,10,212.5,0,2,1.9000001
12-Chain,40,11,262.5,0,1,1.2
12-Chain,41,0,-12.5,0,2,2
12-Chain,41,1,-112.5,0,2,2
12-Chain,41,2,-62.5,0,2,2
12-Chain,41,3,-162.5,0,2,2
12-Chain,41,4,-262.5,0,1,1.2
12-Chain,41,5,-212.5,0,2,1.9000001
12-Chain,41,6,12.5,0,2,2
12-Chain,41,7,62.5,0,2,2
12-Chain,41,8,112.5,0,2,2
12-Chain,41,9,162.5,0,2,2
12-Chain,41,10,212.5,0,2,1.9000001
12-Chain,41,11,262.5,0,1,1.2
12-Chain,42,0,-12.5,0,2,2
12-Chain,42,1,-112.5,0,2,2
12-Chain,42,2,-62.5,0,2,2
12-Chain,42,3,-162.5,0,2,2
12-Chain,42,4,-262.5,0,1,1.2
12-Chain,42,5,-212.5,0,2,1.9000001
12-Chain,42,6,12.5,0,2,2
12-Chain,42,7,62.5,0,2,2
12-Chain,42,8,112.5,0,2,2
12-Chain,42,9,162.5,0,2,2
12-Chain,42,10,212.5,0,2,1.9000001
12-Chain,42,11,262.5,0,1,1.2
12-Chain,43,0,-12.5,0,2,2
12-Chain,43,1,-112.5,0,2,2
12-Chain,43,2,-62.5,0,2,2
12-Chain,43,3,-162.5,0,2,2
12-Chain,43,4,-262.5,0,1,1.2
12-Chain,43,5,-212.5,0,2,1.9000001
12-Chain,43,6,12.5,0,2,2
12-Chain,43,7,62.5,0,2,2
12-Chain,43,8,112.5,0,2,2
12-Chain,43,9,162.5,0,2,2
12-Chain,43,10,212.5,0,2,1.9000001
12-Chain,43,11,262.5,0,1,1.2
12-Chain,44,0,-12.5,0,2,2
12-Chain,44,1,-112.5,0,2,2
12-Chain,44,2,-62.5,0,2,2
12-Chain,44,3,-162.5,0,2,2
12-Chain,44,4,-262.5,0,1,1.2
12-Chain,44,5,-212.5,0,2,1.9000001
12-Chain,44,6,12.5,0,2,2
12-Chain,44,7,62.5,0,2,2
12-Chain,44,8,112.5,0,2,2
12-Chain,44,9,162.5,0,2,2
12-Chain,44,10,212.5,0,2,1.9000001
12-Chain,44,11,262.5,0,1,1.2
12-Chain,45,0,-12.5,0,2,2
12-Chain,45,1,-112.5,0,2,2
12-Chain,45,2,-62.5,0,2,2
12-Chain,45,3,-162.5,0,2,2
12-Chain,45,4,-262.5,0,1,1.2
12-Chain,45,5,-212.5,0,2,1.9000001
12-Chain,45,6,12.5,0,2,2
12-Chain,45,7,62.5,0,2,2
12-Chain,45,8,112.5,0,2,2
12-Chain,45,9,162.5,0,2,2
12-Chain,45,10,212.5,0,2,1.9000001
12-Chain,45,11,262.5,0,1,1.2
12-Chain,46,0,-12.5,0,2,2
12-Chain,46,1,-112.5,0,2,2
12-Chain,46,2,-62.5,0,2,2
12-Chain,46,3,-162.5,0,2,2
12-Chain,46,4,-262.5,0,1,1.2
12-Chain,46,5,-212.5,0,2,1.9000001
12-Chain,46,6,12.5,0,2,2
12-Chain,46,7,62.5,0,2,2
12-Chain,46,8,112.5,0,2,2
12-Chain,46,9,162.5,0,2,2
12-Chain,46,10,212.5,0,2,1.9000001
12-Chain,46,11,262.5,0,1,1.2
12-Chain,47,0,-12.5,0,2,2
12-Chain,47,1,-112.5,0,2,2
12-Chain,47,2,-62.5,0,2,2
12-Chain,47,3,-162.5,0,2,2
12-Chain,47,4,-262.5,0,1,1.2
12-Chain,47,5,-212.5,0,2,1.9000001
12-Chain,47,6,12.5,0,2,2
12-Chain,47,7,62.5,0,2,2
12-Chain,47,8,112.5,0,2,2
12-Chain,47,9,162.5,0,2,2
12-Chain,47,10,212.5,0,2,1.9000001
12-Chain,47,11,262.5,0,1,1.2
12-Chain,48,0,-12.5,0,2,2
12-Chain,48,1,-112.5,0,2,2
12-Chain,48,2,-62.5,0,2,2
12-Chain,48,3,-162.5,0,2,2
12-Chain,48,4,-262.5,0,1,1.2
12-Chain,48,5,-212.5,0,2,1.9000001
12-Chain,48,6,12.5,0,2,2
12-Chain,48,7,62.5,0,2,2
12-Chain,48,8,112.5,0,2,2
12-Chain,48,9,162.5,0,2,2
12-Chain,48,10,212.5,0,2,1.9000001
12-Chain,48,11,262.5,0,1,1.2
12-Chain,49,0,-12.5,0,2,2
12-Chain,49,1,-112.5,0,2,2
12-Chain,49,2,-62.5,0,2,2
12-Chain,49,3,-162.5,0,2,2
12-Chain,49,4,-262.5,0,1,1.2
12-Chain,49,5,-212.5,0,2,1.9000001
12-Chain,49,6,12.5,0,2,2
12-Chain,49,7,62.5,0,2,2
12-Chain,49,8,112.5,0,2,2
12-Chain,49,9,162.5,0,2,2
12-Chain,49,10,212.5,0,2,1.9000001
12-Chain,49,11,262.5,0,1,1.2
12-Chain,50,0,-12.5,0,2,2
12-Chain,50,1,-112.5,0,2,2
12-Chain,50,2,-62.5,0,2,2
12-Chain,50,3,-162.5,0,2,2
12-Chain,50,4,-262.5,0,1,1.2
12-Chain,50,5,-212.5,0,2,1.9000001
12-Chain,50,6,12.5,0,2,2
12-Chain,50,7,62.5,0,2,2
12-Chain,50,8,112.5,0,2,2
12-Chain,50,9,162.5,0,2,2
12-Chain,50,10,212.5,0,2,1.9000001
12-Chain,50,11,262.5,0,1,1.2
12-Chain,51,0,-12.5,0,2,2
12-Chain,51,1,-112.5,0,2,2
12-Chain,51,2,-62.5,0,2,2
12-Chain,51,3,-162.5,0,2,2
12-Chain,51,4,-262.5,0,1,1.2
12-Chain,51,5,-212.5,0,2,1.9000001
12-Chain,51,6,12.5,0,2,2
12-Chain,51,7,62.5,0,2,2
12-Chain,51,8,112.5,0,2,2
12-Chain,51,9,162.5,0,2,2
12-Chain,51,10,212.5,0,2,1.9000001
12-Chain,51,11,262.5,0,1,1.2
12-Chain,52,0,-12.5,0,2,2
12-Chain,52,1,-112.5,0,2,2
12-Chain,52,2,-62.5,0,2,2
12-Chain,52,3,-162.5,0,2,2
12-Chain,52,4,-262.5,0,1,1.2
12-Chain,52,5,-212.5,0,2,1.9000001
12-Chain,52,6,12.5,0,2,2
12-Chain,52,7,62.5,0,2,2
12-Chain,52,8,112.5,0,2,2
12-Chain,52,9,162.5,0,2,2
12-Chain,52,10,212.5,0,2,1.9000001
12-Chain,52,11,262.5,0,1,1.2
12-Chain,53,0,-12.5,0,2,2
12-Chain,53,1,-112.5,0,2,2
12-Chain,53,2,-62.5,0,2,2
12-Chain,53,3,-162.5,0,2,2
12-Chain,53,4,-262.5,0,1,1.2
12-Chain,53,5,-212.5,0,2,1.9000001
12-Chain,53,6,12.5,0,2,2
12-Chain,53,7,62.5,0,2,2
12-Chain,53,8,112.5,0,2,2
12-Chain,53,9,162.5,0,2,2
12-Chain,53,10,212.5,0,2,1.9000001
12-Chain,53,11,262.5,0,1,1.2
12-Chain,54,0,-12.5,0,2,2
12-Chain,54,1,-112.5,0,2,2
12-Chain,54,2,-62.5,0,2,2
12-Chain,54,3,-162.5,0,2,2
12-Chain,54,4,-262.5,0,1,1.2
12-Chain,54,5,-212.5,0,2,1.9000001
12-Chain,54,6,12.5,0,2,2
12-Chain,54,7,62.5,0,2,2
12-Chain,54,8,112.5,0,2,2
12-Chain,54,9,162.5,0,2,2
12-Chain,54,10,212.5,0,2,1.9000001
12-Chain,54,11,262.5,0,1,1.2
